stateabbr,placename,placefips,population2010,arthritis_crudeprev,bphigh_crudeprev,cancer_crudeprev,casthma_crudeprev,csmoking_crudeprev,diabetes_crudeprev,obesity_crudeprev
CA,San Ramon,0668378,72148,15.5,20.1,5.3,7.7,8.7,6.5,18.5
CA,Santa Ana,0669000,324528,14.5,26.1,3.9,8.6,15.8,11.3,26.0
CA,Santa Barbara,0669070,88410,18.8,25.5,6.5,8.8,11.9,8.3,25.7
CA,Santa Clara,0669084,116468,13.0,22.1,4.9,7.4,9.7,6.9,17.5
CA,Santa Clarita,0669088,176320,17.4,23.2,5.7,8.8,12.5,7.5,22.4
CA,Santa Maria,0669196,99553,17.9,26.6,5.0,9.6,17.1,10.8,30.8
CA,Santa Monica,0670000,89736,17.6,23.3,6.6,8.4,9.9,6.8,20.3
CA,Santa Rosa,0670098,167815,22.3,25.6,6.8,9.4,13.5,8.5,25.2
CA,Simi Valley,0672016,124237,20.5,26.7,6.1,8.9,13.0,8.4,21.6
CA,South Gate,0673080,94396,15.4,24.4,4.0,9.1,15.3,11.5,29.4
CA,Stockton,0675000,291707,20.9,29.0,5.1,9.5,16.2,11.8,31.0
CA,Sunnyvale,0677000,140081,13.5,22.8,5.3,7.0,8.9,7.1,17.0
CA,Temecula,0678120,100097,19.0,25.1,5.3,8.6,13.6,7.9,25.0
CA,Thousand Oaks,0678582,126683,22.3,28.3,7.2,8.6,10.8,8.5,20.4
CA,Torrance,0680000,145438,17.6,25.0,6.3,7.7,9.8,8.6,17.9
CA,Tracy,0680238,82922,18.4,24.3,4.8,9.0,14.1,8.6,28.8
CA,Turlock,0680812,68549,21.0,27.0,6.0,9.6,15.7,9.7,24.7
CA,Tustin,0680854,75540,14.7,24.2,4.8,8.0,11.9,8.3,20.5
CA,Union City,0681204,69516,16.1,24.4,4.8,7.5,11.1,9.3,18.4
CA,Upland,0681344,73732,21.0,27.1,6.1,8.6,12.8,9.6,27.5
CA,Vacaville,0681554,92428,20.8,28.6,5.9,9.6,15.5,8.6,28.3
CA,Vallejo,0681666,115942,21.4,32.0,5.7,9.5,14.7,11.3,27.7
CA,Victorville,0682590,115903,20.6,28.9,4.9,9.7,17.9,11.4,33.5
CA,Visalia,0682954,124442,19.4,28.0,5.8,9.3,14.9,9.8,28.9
CA,Vista,0682996,93834,18.2,26.7,5.3,9.1,15.1,8.9,25.1
CA,West Covina,0684200,106098,16.2,24.9,5.2,7.8,11.1,10.1,21.2
CA,Westminster,0684550,89701,17.8,30.5,5.5,7.7,13.7,12.7,18.5
CA,Whittier,0685292,85331,17.2,24.5,5.6,8.4,11.7,9.3,24.6
NY,Albany,3601000,97856,21.2,27.2,5.3,10.8,18.2,9.3,28.5
NY,Buffalo,3611000,261310,27.5,36.4,5.7,12.0,23.6,13.0,35.1
NY,Mount Vernon,3649121,67292,23.8,36.2,5.9,11.6,17.4,12.9,31.9
NY,New Rochelle,3650617,77062,21.8,29.5,6.5,9.6,13.9,10.0,25.3
NY,New York,3651000,8175133,19.4,28.0,5.4,9.7,16.0,10.9,24.4
NY,Rochester,3663000,210565,24.7,33.1,5.1,12.0,23.1,12.4,36.3
NY,Schenectady,3665508,66135,23.3,31.4,6.0,11.2,21.5,10.5,32.4
NY,Syracuse,3673000,145170,23.0,31.5,5.5,11.7,22.7,10.9,33.0
NY,Yonkers,3684000,195976,22.2,30.3,6.3,9.8,15.7,11.1,27.1
TX,Abilene,4801000,117063,21.5,32.3,5.9,8.8,19.0,10.9,33.1
TX,Allen,4801924,84246,17.2,26.5,5.0,7.7,13.3,7.6,28.6
TX,Amarillo,4803000,190695,23.3,33.5,6.3,8.9,19.0,11.6,35.1
TX,Arlington,4804000,365438,19.5,32.1,5.0,9.0,17.4,10.4,34.2
TX,Austin,4805000,790390,15.3,22.5,4.4,8.1,14.3,7.7,25.7
TX,Baytown,4806128,71802,20.9,31.7,5.6,8.6,18.9,11.9,34.4
TX,Beaumont,4807000,118296,24.0,40.1,5.9,9.8,19.5,13.9,38.3
TX,Brownsville,4810768,175023,18.3,33.3,4.8,8.1,15.3,17.4,41.0
TX,Bryan,4810912,76201,18.6,28.4,4.9,9.1,18.2,10.5,32.6
TX,Carrollton,4813024,119097,18.7,29.9,5.2,8.2,15.7,10.0,30.0
TX,College Station,4815976,93857,10.4,16.9,2.9,8.9,14.4,4.8,24.6
TX,Corpus Christi,4817000,305215,22.6,33.9,5.6,8.0,16.6,13.9,34.6
TX,Dallas,4819000,1197816,18.9,32.6,4.9,9.3,18.3,12.0,34.8
TX,Denton,4819972,113383,16.6,26.7,4.7,9.0,16.8,7.9,30.5
TX,Edinburg,4822660,77100,15.0,28.5,3.9,7.5,14.7,13.4,41.6
TX,El Paso,4824000,649121,19.3,30.7,4.9,7.7,14.7,14.9,35.3
TX,Fort Worth,4827000,741206,19.7,32.7,4.9,9.1,18.2,11.3,35.7
TX,Frisco,4827684,116989,16.0,24.9,4.8,7.6,12.7,6.8,28.1
TX,Garland,4829000,226876,20.1,32.5,5.3,9.0,18.3,11.8,32.3
TX,Grand Prairie,4830464,175396,17.9,30.5,4.6,8.9,17.4,10.7,33.3
TX,Houston,4835000,2099451,18.5,30.8,4.9,8.3,17.5,12.0,34.1
TX,Irving,4837000,216290,16.3,27.8,4.3,8.4,16.6,9.8,30.1
TX,Killeen,4839148,127921,17.2,29.2,3.9,9.3,19.1,9.7,37.2
TX,Laredo,4841464,236091,18.5,31.7,4.2,8.0,18.2,15.7,42.1
TX,League City,4841980,83560,19.2,27.1,5.3,8.2,16.9,8.0,31.4
TX,Lewisville,4842508,95290,16.8,27.4,4.6,8.5,16.8,8.5,31.2
TX,Longview,4843888,80455,24.4,36.9,6.5,9.5,19.9,12.5,36.1
TX,Lubbock,4845000,229573,19.4,29.6,5.3,8.9,17.0,10.2,33.4
TX,McAllen,4845384,129877,18.1,32.2,5.0,7.5,13.9,15.5,41.5
TX,McKinney,4845744,131117,18.0,27.4,5.2,8.1,14.8,8.1,30.9
TX,Mesquite,4847892,139824,20.3,32.6,5.3,9.6,19.3,11.2,33.8
TX,Midland,4848072,111147,20.7,31.1,6.0,8.3,15.5,10.4,32.7
TX,Mission,4848768,77058,18.6,32.3,5.2,7.7,14.5,15.1,41.4
TX,Missouri City,4848804,67358,20.6,34.9,5.4,8.5,13.6,11.7,31.3
TX,Odessa,4853388,99940,21.3,31.7,5.6,8.6,17.6,11.8,35.1
TX,Pasadena,4856000,149043,19.0,29.1,5.0,8.0,18.7,11.7,34.2
TX,Pearland,4856348,91252,18.7,28.3,5.2,7.8,13.5,8.6,30.0
TX,Pharr,4857200,70400,18.4,32.9,4.7,8.0,16.4,16.5,44.4
TX,Plano,4858016,259841,18.5,28.4,5.6,7.5,12.2,8.6,27.6
TX,Richardson,4861796,99223,19.2,29.5,6.1,7.9,12.7,9.1,26.4
TX,Round Rock,4863500,99887,18.2,26.6,4.6,8.1,15.6,8.4,30.5
TX,San Angelo,4864472,93200,22.1,31.3,6.1,8.5,16.6,11.3,34.3
TX,San Antonio,4865000,1327407,19.7,32.3,5.3,8.1,16.8,13.1,34.5
TX,Sugar Land,4870808,78817,19.5,30.8,5.8,6.9,11.1,10.4,23.7
TX,Tyler,4874144,96900,23.1,36.8,6.5,9.3,18.2,12.4,34.7
TX,Waco,4876000,124805,20.9,34.0,5.4,9.7,19.9,12.1,36.7
TX,Wichita Falls,4879000,104553,25.2,33.4,5.9,9.0,19.6,11.7,37.5
